titulo,link
"1. Temperatura promedio anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/1_27.xlsx
"2. Temperatura máxima promedio anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/2_26.xlsx
"3. Temperatura del aire promedio, mínima y máxima anual por estación de medición, 2009-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/3_18.xlsx
"4. Precipitación total anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/4_18.xlsx
"5. Humedad relativa promedio, mínima y máxima anual por estación de medición, 2013-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/5_15.xlsx
"6. Humedad relativa promedio anual, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/6_18.xlsx
"7. Humedad relativa, temperatura del aire y precipitación por región natural, 1996-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/7_19.xlsx
"8. Cursos de agua superficial de la región hidrográfica Pacífico, 2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/8_14.xlsx
"9. Cursos de agua superficial de la región hidrográfica Amazonas, 2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/9_12.xlsx
"10. Cursos de agua superficial de la región hidrográfica del Titicaca, 2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/10_11.xlsx
11. Longitud aproximada de ríos de las fronteras internacionales,https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/11_11.xlsx
"12. Superficie agropecuaria por usos de la tierra, según ámbito geográfico, 2021-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/12_12.xlsx
"13. Superficie agrícola por usos de la tierra, según ámbito geográfico, 2021-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/13_11.xlsx
"14. Superficie no agrícola por uso de la tierra, según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/14_11.xlsx
"15. Superficie agrícola y unidades agropecuarias por cultivo en secano por tamaño, según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/15_10.xlsx
"16. Superficie agrícola y unidades agropecuarias bajo riego, por tamaño y según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/16_11.xlsx
"17. Superficie agrícola cultivada y cosechada, según ámbito geográfico, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/17_7.xlsx
"18. Áreas naturales protegidas por el Estado, según categoría, 2020-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/18_10.xlsx
"19. Cobertura por zonas protegidas de áreas naturales para la diversidad biológica, 2015-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/19_10.xlsx
"20. Reserva Nacional Sistema de islas, islotes y puntas guaneras, 2010",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/20_9.xlsx
"21. Áreas de conservación regional, 2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/21_8.xlsx
"22. Áreas de conservación privada, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/22_4.xlsx
"23. Especies de fauna y flora existentes en Perú, 2013-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/23_5.xlsx
"24. Especies de fauna y flora endémicas, 2013-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/24_5.xlsx
"25. Especies de fauna silvestre amenazada, según categoría, 2004 y 2014",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/25_11.xlsx
"26. Superficie de bosque húmedo amazónico, según departamento, 2013-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/26_6.xlsx
"27. Capacidad potencial de los bosques amazónicos, 2015-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/27_5.xlsx
"28. Superficie departamental y superficie de bosque húmedo amazónico, según departamento, 2020-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/28_5.xlsx
"29. Promedio mensual de partículas inferiores a 10 micras en el aire de la provincia de Lima por estación de medición, 2021 y 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/29_4.xlsx
"30. Promedio mensual de partículas inferiores a 10 micras en el aire de Lima Metropolitana, según zona, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/30_4.xlsx
"31. Promedio mensual de partículas inferiores a 10 micras en el aire del cercado de Lima, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/31_4.xlsx
"32. Promedio mensual de partículas inferiores a 2,5 micras en el aire del cercado de Lima, 2005-2016",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/32_3.xlsx
"33. Valor mensual del dióxido de azufre, por estación de medición, 2021-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/33_4.xlsx
"34. Evolución diaria de dióxido de azufre, 2020-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/34_4.xlsx
"35. Valor mensual de dióxido de nitrógeno en la provincia de Lima por estación de medición, 2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/35_4.xlsx
"36. Presencia de contaminantes del aire por tipo, 2002-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/36_4.xlsx
"37. Cantidad de contaminantes per cápita por tipo, 2002-2019",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/37_4.xlsx
"38. Emisión de plomo en zonas mineras, 2009-2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/38_4.xlsx
"39. Municipalidades que informaron que existen elementos que originan contaminación ambiental, según departamento, 2020-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/39_4.xlsx
"40. Concentración de nutrientes en el agua del río Rímac, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/40_3.xlsx
"41. Descarga total y calidad de agua del río Rímac, 2008-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/41_9.xlsx
"42. Cloro residual libre en el agua de los hogares para el consumo humano, según área de residencia y región natural, 2020-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/42.xlsx
"43. Hogares sin cloro residual libre, en el agua para el consumo humano, según ámbito geográfico, 2014-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/43_2.xlsx
"44. Monitoreo del agua de los ríos antes de las operaciones mineras, 2013-2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/44_3.xlsx
"45. Monitoreo del agua de los ríos después de las operaciones mineras, 2013-2018",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/45_3.xlsx
"46. Concentración de oxígeno en la superficie del agua de mar, por estación de medición, 2020-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/46_3.xlsx
"47. Consumo final de energía, según tipo de fuente, 2013-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/47_3.xlsx
"48. Principales indicadores de energía eléctrica e hidroenergía, 2007-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/48_5.xlsx
"49. Pérdida de bosques, según departamento, 2013-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/49_4.xlsx
"50. Superficie reforestada, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/50_3.xlsx
"51. Plantación forestal realizada por el Programa de Desarrollo Productivo Agro Rural, según departamento, 2013-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/51_3.xlsx
"52. Disponibilidad hídrica a nivel nacional, según vertiente, 2019",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/52_3.xlsx
"53. Volumen de agua superficial por uso consuntivo, según vertiente y administración local del agua, 2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/53_3.xlsx
"54. Volumen de agua superficial por uso no consuntivo, según vertiente y administración local del agua, 2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/54_4.xlsx
"55. Capacidad máxima y usos del agua de las represas, según región natural, 2018-2019",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/55_3.xlsx
"56. Inventario nacional de gases de efecto invernadero, 2005, 2010, 2012, 2014 y 2016",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/56_3.xlsx
"57. Evolución de emisiones de gases de efecto invernadero del transporte terrestre, según tipo de vehículo, 2000, 2005, 2010, 2012, 2014 y 2016",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/57.xlsx
"58. Consumo potencial de sustancias controladas por el Protocolo de Montreal, según anexo y grupo, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/58_3.xlsx
"59. Consumo de sustancias controladas por el Protocolo de Montreal, según anexo y grupo, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/59_4.xlsx
"60. Generación de agua residual en Lima Metropolitana, según forma de tratamiento, 2016-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/60_3.xlsx
"61. Caudal en plantas de tratamiento de aguas residuales de Lima Metropolitana, 2018-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/61_3.xlsx
"62. Residuos sólidos municipales generados en la provincia de Lima, según distrito, 2015-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/62_3.xlsx
"63. Residuos sólidos municipales per cápita en la provincia de Lima, según distrito, 2021-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/63_3.xlsx
"64. Residuos sólidos municipales controlados en los rellenos sanitarios de la provincia de Lima,",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/64_3.xlsx
"65. Cantidad promedio diaria de residuos sólidos recolectados, según departamento, 2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/65_3.xlsx
"66. Municipalidades que realizan el servicio de recojo diario de residuos sólidos, según departamento, 2020-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/66_3.xlsx
"67. Municipalidades que destinan parte o todo de los residuos sólidos recolectados al relleno sanitario, según departamento, 2020-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/67_3.xlsx
"68. Emergencias ocasionadas por eventos naturales y antrópicos, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/68_4.xlsx
"69. Emergencias según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/69_3.xlsx
"70. Sismos sensibles con magnitud menor a 4.9 grados, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/70_4.xlsx
"71. Sismos sensibles con magnitud mayor o igual a 5 grados, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/71_3.xlsx
"72. Viviendas destruidas por ocurrencia de desastres, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/72_4.xlsx
"73. Superficie de tierra de cultivo destruido por ocurrencia de desastres, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/73_3.xlsx
"74. Población con acceso sostenible a fuentes mejoradas de abastecimiento de agua, según ámbito geográfico, 2016-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/74_3.xlsx
"75. Población con acceso a servicios de saneamiento mejorados, según ámbito geográfico, 2016-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/75_3.xlsx
"76. Proporción de la población urbana que vive en barrios marginales, asentamientos improvisados o viviendas inadecuadas, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/76_3.xlsx
"77. Población en hogares que usa carbón y/o leña para preparar sus alimentos, según área de residencia, 2014-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/77_2.xlsx
"78. Municipalidades provinciales con planes de acondicionamiento territorial, según departamento, 2013-2022",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/78_3.xlsx
"79. Municipalidades que realizan conservación de áreas verdes en espacios públicos, según departamento, 2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/79_1.xlsx
"80. Unidades de gestión del riesgo de desastres u oficinas de defensa civil que realizaron acciones de prevención y emergencia, según departamento, 2020-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/80_2.xlsx
"81. Instalación de cultivos, según departamento, 2011-2019",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/81_1.xlsx
"82. Mejoramiento de pastos, según departamento, 2011-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/82.xlsx
"83. Construcción de cobertizos para ganado, según departamento, 2011-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/83.xlsx
"84. Manejo y conservación de suelos por zanjas de infiltración, según departamento, 2010-2020",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/84_4.xlsx
"85. Manejo y conservación de suelos por terrazas de formación lenta, según departamento, 2010-2019",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/85_3.xlsx
"86. Municipalidades que tienen oficina o unidad ambiental, según departamento, 2020-2021",https://www.inei.gob.pe/media/MenuRecursivo/indices_tematicos/86_2.xlsx
