departamento,año,temperatura
Amazonas,2012,14.7033333333333
Amazonas,2013,15.0316666666667
Amazonas,2014,14.9008333333333
Amazonas,2015,15.0983333333333
Amazonas,2016,15.6
Amazonas,2017,15.159999999999997
Amazonas,2018,14.85
Amazonas,2019,15.0166666666667
Amazonas,2020,15.341666666666663
Amazonas,2021,14.991666666666667
Amazonas,2022,15
Ancash,2012,12.395
Ancash,2013,12.5133333333333
Ancash,2014,12.4858333333333
Ancash,2015,12.8490909090909
Ancash,2016,13.1
Ancash,2017,12.300833333333335
Ancash,2018,12.0333333333333
Ancash,2019,12.45
Ancash,2020,NA
Ancash,2021,11.159821368086062
Ancash,2022,11.1
Apurimac,2012,14.0048148148148
Apurimac,2013,14.1058333333333
Apurimac,2014,14.1242857142857
Apurimac,2015,14.4616666666667
Apurimac,2016,14.9
Apurimac,2017,14.284166666666666
Apurimac,2018,14.2
Apurimac,2019,14.55
Apurimac,2020,NA
Apurimac,2021,13.579316395669615
Apurimac,2022,15.6
Arequipa,2012,15.5508333333333
Arequipa,2013,15.6075
Arequipa,2014,16.1266666666667
Arequipa,2015,17.0816666666667
Arequipa,2016,17.3
Arequipa,2017,16.588333333333335
Arequipa,2018,16.6166666666667
Arequipa,2019,16.9583333333333
Arequipa,2020,NA
Arequipa,2021,16.241666666666667
Arequipa,2022,16
Ayacucho,2012,18.0483312734314
Ayacucho,2013,18.2016666666667
Ayacucho,2014,18.3775
Ayacucho,2015,18.2516666666667
Ayacucho,2016,18.8
Ayacucho,2017,18.13888888888889
Ayacucho,2018,17.0833333333333
Ayacucho,2019,16.98
Ayacucho,2020,18.190000000000005
Ayacucho,2021,17.441666666666666
Ayacucho,2022,17.7
Cajamarca,2012,14.5999731182796
Cajamarca,2013,14.85
Cajamarca,2014,15.0241666666667
Cajamarca,2015,15.375
Cajamarca,2016,15.6
Cajamarca,2017,15.044166666666664
Cajamarca,2018,14.8666666666667
Cajamarca,2019,14.9583333333333
Cajamarca,2020,15.455555555555552
Cajamarca,2021,14.908333333333337
Cajamarca,2022,14.8
Cusco,2012,12.3303166069295
Cusco,2013,12.3258333333333
Cusco,2014,12.5191666666667
Cusco,2015,12.5508333333333
Cusco,2016,13.3
Cusco,2017,13.04416666666667
Cusco,2018,12.5916666666667
Cusco,2019,12.8916666666667
Cusco,2020,14.01
Cusco,2021,14.040000000000001
Cusco,2022,12.5
Huancavelica,2012,9.62990740740741
Huancavelica,2013,10.2841666666667
Huancavelica,2014,10.3408333333333
Huancavelica,2015,10.4041666666667
Huancavelica,2016,10.8
Huancavelica,2017,10.360000000000001
Huancavelica,2018,10.35
Huancavelica,2019,10.7333333333333
Huancavelica,2020,11.071428571428571
Huancavelica,2021,10.291666666666666
Huancavelica,2022,10.7
Huanuco,2012,20.2685005973716
Huanuco,2013,20.6866666666667
Huanuco,2014,20.6075
Huanuco,2015,20.8175
Huanuco,2016,21.4
Huanuco,2017,20.9125
Huanuco,2018,20.2416666666667
Huanuco,2019,20.4416666666667
Huanuco,2020,21.07777777777778
Huanuco,2021,20.825
Huanuco,2022,20.9
Ica,2012,20.7191666666667
Ica,2013,21.5491666666667
Ica,2014,21.01
Ica,2015,21.6458333333333
Ica,2016,22.9
Ica,2017,22.705833333333334
Ica,2018,22.3666666666667
Ica,2019,22.1166666666667
Ica,2020,22.67142857142857
Ica,2021,22.04
Ica,2022,20.8
Junin,2012,12.0881541218638
Junin,2013,12.4391666666667
Junin,2014,12.3916666666667
Junin,2015,12.5533333333333
Junin,2016,13
Junin,2017,12.759166666666665
Junin,2018,12.3416666666667
Junin,2019,12.3454545454545
Junin,2020,13.250000000000002
Junin,2021,12.683333333333332
Junin,2022,12.5
La Libertad,2012,21.183903823178
La Libertad,2013,19.3175
La Libertad,2014,20.965
La Libertad,2015,22.2291666666667
La Libertad,2016,21.2
La Libertad,2017,20.876363636363635
La Libertad,2018,20.025
La Libertad,2019,20.6166666666667
La Libertad,2020,20.166666666666664
La Libertad,2021,19.708333333333332
La Libertad,2022,18.8
Lambayeque,2012,21.9558333333333
Lambayeque,2013,20.1991666666667
Lambayeque,2014,21.6658333333333
Lambayeque,2015,22.7525
Lambayeque,2016,22.4
Lambayeque,2017,22.01666666666667
Lambayeque,2018,20.925
Lambayeque,2019,21.45
Lambayeque,2020,20.811111111111114
Lambayeque,2021,20.51666666666667
Lambayeque,2022,19.8
Lima,2012,19.8409229390681
Lima,2013,18.7133333333333
Lima,2014,19.5375
Lima,2015,20.8127272727273
Lima,2016,20.3
Lima,2017,20.074166666666667
Lima,2018,19.475
Lima,2019,19.575
Lima,2020,NA
Lima,2021,18.477439394140053
Lima,2022,18
Loreto,2012,26.8420712514362
Loreto,2013,27.3908333333333
Loreto,2014,26.9227272727273
Loreto,2015,27.2833333333333
Loreto,2016,27.5
Loreto,2017,27.525000000000002
Loreto,2018,27.2083333333333
Loreto,2019,27.35
Loreto,2020,27.633333333333336
Loreto,2021,27.49166666666667
Loreto,2022,27.3
Madre de Dios,2012,26.8858333333333
Madre de Dios,2013,26.5522222222222
Madre de Dios,2014,26.5216666666667
Madre de Dios,2015,27.0908333333333
Madre de Dios,2016,27
Madre de Dios,2017,26.977499999999996
Madre de Dios,2018,26.225
Madre de Dios,2019,26.625
Madre de Dios,2020,27.54
Madre de Dios,2021,26.54545454545454
Madre de Dios,2022,26.1
Moquegua,2012,19.6583333333333
Moquegua,2013,19.2933333333333
Moquegua,2014,19.3958333333333
Moquegua,2015,19.938
Moquegua,2016,NA
Moquegua,2017,NA
Moquegua,2018,20.075
Moquegua,2019,20.025
Moquegua,2020,NA
Moquegua,2021,18.608320977970784
Moquegua,2022,19.4
Pasco,2012,4.98622013142174
Pasco,2013,5.30833333333333
Pasco,2014,5.18583333333333
Pasco,2015,5.46416666666667
Pasco,2016,6
Pasco,2017,5.514444444444445
Pasco,2018,5.16666666666667
Pasco,2019,5.45833333333333
Pasco,2020,NA
Pasco,2021,NA
Pasco,2022,5.4
Piura,2012,25.1553823178017
Piura,2013,23.9175
Piura,2014,25.3081818181818
Piura,2015,26.0645454545455
Piura,2016,26
Piura,2017,24.95909090909091
Piura,2018,24.95
Piura,2019,25.3833333333333
Piura,2020,NA
Piura,2021,23.775000000000002
Piura,2022,22.5
Puno,2012,10.4508333333333
Puno,2013,10.2425
Puno,2014,10.5475
Puno,2015,10.3233333333333
Puno,2016,10.9
Puno,2017,10.562500000000002
Puno,2018,10.3916666666667
Puno,2019,10.7166666666667
Puno,2020,NA
Puno,2021,9.67736484616275
Puno,2022,9.7
San Martin,2012,22.8383333333333
San Martin,2013,22.9983333333333
San Martin,2014,22.7783333333333
San Martin,2015,22.93
San Martin,2016,23.6
San Martin,2017,23.06416666666667
San Martin,2018,22.75
San Martin,2019,22.95
San Martin,2020,NA
San Martin,2021,23.059999999999995
San Martin,2022,23.3
Tacna,2012,18.2166666666667
Tacna,2013,17.6733333333333
Tacna,2014,17.9825
Tacna,2015,18.845
Tacna,2016,18.8
Tacna,2017,18.491999999999997
Tacna,2018,18.475
Tacna,2019,18.2166666666667
Tacna,2020,18.82222222222222
Tacna,2021,17.758333333333336
Tacna,2022,17.5
Tumbes,2012,25.6375
Tumbes,2013,25.0725
Tumbes,2014,25.9708333333333
Tumbes,2015,27.2108333333333
Tumbes,2016,26.9
Tumbes,2017,25.799
Tumbes,2018,25.9583333333333
Tumbes,2019,26.2916666666667
Tumbes,2020,NA
Tumbes,2021,24.50833333333333
Tumbes,2022,24.2
Ucayali,2012,25.5482213776624
Ucayali,2013,25.5866666666667
Ucayali,2014,25.48
Ucayali,2015,25.9654545454545
Ucayali,2016,26
Ucayali,2017,25.902500000000003
Ucayali,2018,25.5416666666667
Ucayali,2019,25.7333333333333
Ucayali,2020,NA
Ucayali,2021,25.683333333333334
Ucayali,2022,26.1
